Acer saccharum
Glycyrrhiza glabra/echinata
Hablitzia tamnoides
Halesia carolina
Heliantus tuberosus
Hemerocallis spp.
Hippophae rhamnoides
Hovenia dulcis
Humulus lupulus
Hosta spp.
Houttuynia cordata
Hypericum perforatum
Hysoppus officinalis
Hydrangea spp.
Juglans ailantifolia var. cordiformis
Juglans cinerea
Juglans nigra
Juglans regia
Juglans x bixbyi
Juniperus communis
Lamium album
Lathyrus latifolius/sylvestris
Lathyrus tuberosus
Laurus nobilis
Lavandula angustifolia
Lespedeza bicolor
Levisticum officinale
Lonicera caerulea var. kamtschatica
Lupinus arboreus/perennis
Lycium barbarum
Lycium chinense
Maackia amurensis
Magnolia spp.
Mahonia aquifolium
Malus domestica
Malus sylvestris
Malva alcea
Malva moschata/sylvestris
Matteuca struthiopteris
Medicago lupulina/sativa
Melissa officinalis
Mentha spicata
Mentha suaveolens 
Mentha x piperita
Mespilus germanica
Monarda didyma
Morus alba (tatarica)
Morus nigra
Morus rubra
Myrica gale
Myrrhis odorata
Myrtus spp.
Nasturtium officinale
Origanum vulgare
Oxalis acetosella
Oxalis tuberosa
Passiflora incarnata/caerulea
Paulownia tomentosa
Petasides japonicus
Phormium tenax
Phyllostachys spp.
Pimpinella saxifraga
Pinus spp.
Plantago lanceolata/major
Polygonatum multiflorum
Poncirus trifoliata
Populus alba/nigra
Potentilla anserina
Primula vulgaris
Prunus armeniaca L.
Prunus avium
Prunus cerasifera
Prunus cerasus
Prunus dulcis
Prunus domestica
Prunus domestica insititia
Prunus italica
Prunus persica
Prunus persica var. nucipersica
Prunus salicina
Prunus spinosa
Prunus syriaca
Prunus tomentosa
Pterocarya fraxinifolia
Punica granatum
Pyrus communis
Pyrus pyrifolia/ussuriensis
Quercus spp.
Rheum rhabarbarum
Rhus thypina
Ribes divaricatum
Ribes nigrum
Ribes odoratum
Ribes phoenicolasius
Ribes rubrum
Ribes uva-crispa
Ribes x nidigrolaria
Robina pseudoacacia
Rosa canina
Rosa glauca
Rosa rugosa
Rosa villosa
Rosa x dumalis
Rosmarinus officinalis
Rubus fruticosus
Rubus idaeus
Rubus illecebrosus
Rubus nepalensis
Rubus occidentalis
Rubus pentalobus
Rubus phoenicolasius
Rubus tricolor
Rumex spp.
Salix spp.
Salvia officinalis
Sambucus canadensis
Sambucus nigra
Sambucus racemosa
Schisandra chinensis
Sedum telephium
Shepherdia argentea
Sium sisarum
Solidago canadensis
Sophora japonica
Sorbaronia mitschurinii
Sorbus aria/intermedia
Sorbus aucuparia (edulis)
Sorbus domestica/torminalis
Stachys affinis(Synonym: Stachys sieboldii)
Staphylea pinnata/trifolia
Stellaria media
Symphytum grandiflorum
Symphytum ibericum
Symphytum officinale
Symphytum x uplandicum 
Syringa vulgaris
Tanacetum vulgare
Taraxacum officinale
Thymus vulgaris
Tilia cordata/platyphyllos
Toona sinensis
Trifolium pratense/repens
Ugni molinae
Urtica dioica
Vaccinium angustifolium
Vaccinium corymbosum
Vaccinium oxycoccus/macrocarpon
Valeriana officinalis
Viburnum opulus var. americanum/trilobum
Vicia spp.
Viola odorata
Vitex agnus-castus
Vitis vinifera
Wisteria frutescens/sinensis
Zanthoxylum americanum
Zanthoxylum piperitum
Zanthoxylum schinifolium
Zanthoxylum simulans
Ziziphus jujube
